"","Bias_num","title","description","channel","id"
"1",0,"Richard Dawkins on Islam, Jews, science and the burka - BBC Newsnight","Evan Davis speaks to Richard Dawkins. ** Subscribe to BBC Newsnight http://bbc.in/1iouM30 **","BBC Newsnight","YAV_0s1c2V4"
"2",0,"What would a second wave look like? | CNBC Explains","Past pandemics have shown that multiple waves of infection are likely and tend to be more severe. Despite warnings from health experts and economists about against easing restrictions too soon — not only to protect lives but also the economy — there is growing opposition against the social distancing measures. CNBC’s Tom Chitty explains.-----Subscribe to us on YouTube: http://cnb.cx/2wuoARMSubscribe to CNBC International TV on YouTube: https://cnb.cx/2NGytpzLike our Facebook page:https://www.facebook.com/cnbcinternat...Follow us on Instagram:https://www.instagram.com/cnbcinterna...Follow us on Twitter:https://twitter.com/CNBCi#CNBC #Coronavirus #Economy","CNBC International","Hc2kSVBuDns"
"3",0,"Ricky Gervais and Richard Dawkins in Conversation","Multi-award-winning stand-up comedian, screenwriter, and actor Ricky Gervais was presented with this year’s Richard Dawkins Award, from the Center for Inquiry. CFI campaigns to remove the influence of religion in science education and public policy, and to eliminate the stigma that surrounds atheism and non-belief.The Richard Dawkins Award has been presented annually since 2003. Past winners have included philosopher and cognitive scientist Daniel Dennett, activist and feminist Ayaan Hirsi Ali, and actor and writer Stephen Fry.This event was an unscripted conversation between Gervais and Dawkins, in which everything is on the table and nothing is sacred. They were joined by host, best-selling author and professor of psychology, Richard Wiseman.","Center for Inquiry","b0BC3F0kqtw"
"4",0,"Stephen Fry and Richard Dawkins in Conversation","Stephen Fry and Richard Dawkins, two of the most respected minds in their respective fields, sit together on the CSICon stage to discuss science, religion, politics, and more.The Center for Inquiry is a 501(c)(3) charitable nonprofit organization. CFI’s vision is a world in which evidence, science, and compassion—rather than superstition, pseudoscience, or prejudice—guide public policy.You can join CFI and find out what we do to protect critical thinking and science by visiting: https://centerforinquiry.orgStephen Fry is an English actor, screenwriter, author, playwright, journalist, poet, comedian, television presenter, film director and all round national treasure. Stephen’s new book, Mythos, his unique retelling of the Greek myths, was published in November 2017 and he is currently working on a one man stage show of the book for a first run at the Shaw Festival in Niagara.Richard Dawkins is one of the most respected scientists in the world and an internationally best-selling author. Among his books are The Selfish Gene, The God Delusion, and his autobiography A Brief Candle in the Dark. He is a fellow of the Royal Society and of the Royal Society of Literature.This talk took place at the CSICon 2018 in Las Vegas on October 20, 2018","Center for Inquiry","SYPZwZud_PA"
"5",0,"GREG DAVIES FREAKS OUT WHEN CHRIS EUBANK TURNS UP!! | 8 Out Of 10 Cats Does Countdown Best Bits Pt 4","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Check out the funniest moments from 8 Out Of 10 Cats Does Countdown - part 4!Why not watch ALL of the 8 Out Of 10 Cats Does Countdown episodes for free on All 4? http://www.channel4.com/programmes/8-...","Channel 4","xU-3Zdei1N0"
"6",0,"""""What's The F*****g Point?!"""" | When Panel Shows Break Down | Best Of 8 Out Of 10 Cats Does Countdown","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Check out the funniest moments from 8 Out Of 10 Cats Does Countdown - part 1!Watch the series on All 4: http://www.channel4.com/programmes/8-...","Channel 4","mBfaXBqq_k8"
"7",0,"ALL TIME FUNNIEST MOMENTS from 8 YEARS of 8 Out of 10 Cats Does Countdown!!","To celebrate 8 years of 8 Out of 10 Cats Does Countdown, here's the ultimate funniest moments mash-up! Featuring Jimmy Carr, Jon Richardson, Sean Lock, Joe Wilkinson, Roisin Conaty, Greg Davies, Aisling Bea, Johnny Vegas, Richard Ayoade, Miles Jupp, Lee Mack and more!Watch FULL EPISODES on All 4: https://bit.ly/2vQu7RmSubscribe to Channel 4 for more: https://bit.ly/2v2I6SY#CatsCountdown #JimmyCarr #Channel4 #SeanLock #JonRichardson #JoeWilkinson","Channel 4","1Gdd2x9AIJw"
"8",0,"""""You've Had WORSE Things Spat at You?!"""" Best of 8 Out of 10 Cats Does Countdown Series 18 | Part 2","Jimmy Carr is joined by Sean Lock, Miles Jupp, Joe Wilkinson, Katherine Ryan, Alan Carr and more in the funniest moments from series 18 of 8 Out of 10 Cats Does Countdown!Subscribe to Channel 4 for more: https://bit.ly/2v2I6SYWatch FULL EPISODES on All 4: https://bit.ly/2vQu7Rm#JimmyCarr #SeanLock #8OutOf10CatsDoesCountdown #Channel4 #CatsCountdown","Channel 4","PnCL4_lhh7M"
"9",0,"The FUNNIEST STORIES! Told by Joe Lycett, James Acaster & More | 8 Out of 10 Cats Does Countdown","The funniest stories told by Joe Lycett, James Acaster, Sean Lock, Katherine Ryan, Jack Whitehall and more!Watch FULL EPISODES on All 4: https://bit.ly/2vQu7RmSubscribe to Channel 4 for more: https://bit.ly/2v2I6SY#CatsCountdown #JoeLycett #JamesAcaster #SeanLock #JimmyCarr #Channel4","Channel 4","pTRwMUfAHng"
"10",0,"Everyone Completely Loses It After Jimmy's Unnecessary Joke! | 8 Out Of 10 Cats Does Countdown","Watch the new series of 8 Out of 10 Cats Does Countdown every Friday at 9pm on Channel 4Joe Wilkinson, David Mitchell, Roisin Conaty, Jon Richardson, Tom Allen, Rachel Riley and Susie Dent completely lose it after Jimmy Carr's joke about Susie and glory holes!http://www.channel4.com/programmes/8-...","Channel 4","pHTTQ_gI76k"
